название,категория 1,категория 2
CRM - Управление взаимоотношениями с клиентами,софт и по,клиентский сервис
WebTutor,софт и по,webtutor
Английский_ публикация урока 16.02,английский,
Ассортимент Dell,продукция,
Возможности программы Microsoft PowerPoint,софт и по,
Диалоги 1 и 2_webtutor,софт и по,webtutor
Диалоги 5 и 6_webtutor,софт и по,webtutor
"Дистанционный курс: ""Охрана труда"" Блок 2",охрана труда,
Дистанционный курс_Охрана труда Блок 2,охрана труда,
ИЗМЕНЕНИЯ В АКЦИИ_ИЮЛЬ,акции и спецпредложения,
"Клиенский сервис: ""Увеличь свою память""",развитие общих и управленческих навыков,клиентский сервис
Клиентские сервисы: ТРЕЙД-ИН (trash),клиентский сервис,
Клиентский сервис: дополнительные услуги при продаже ПК,клиентский сервис,
Клиентский сервис: дополнительные услуги при продаже часов,клиентский сервис,
Курс для пользователей программным продуктом E-Staff Рекрутер,софт и по,
Летняя акция,акции и спецпредложения,
Маркетинговая акция осени,акции и спецпредложения,
Мотивация персонала,развитие общих и управленческих навыков,
Начало работы и операция продажи товара в программе SV-кассир,софт и по,
О Чайникофф,базовые знания,
Оборудование Apple,продукция,
"Обучающий курс: ""Эффективная работа с кросс-маркетинговыми акциями""",технология продаж,
обучение ЭДО,софт и по,"финансы, бухгалтерия, документация"
Организационно-распорядительная система документации,развитие общих и управленческих навыков,
Осенняя акция,акции и спецпредложения,
Основы работы с Microsoft Office Outlook 2004,софт и по,
Основы управления временем,развитие общих и управленческих навыков,
Основы управления проектами,развитие общих и управленческих навыков,
Основы электробезопасности,охрана труда,
Оформление покупки в кредит в программе SV-кассир,софт и по,клиентский сервис
Оформление услуги Кредит в программе SV-кассир,софт и по,клиентский сервис
Оформление услуги ТРЕЙД-ИН,софт и по,клиентский сервис
Оформление услуги ТРЕЙД-ИН в SV,софт и по,клиентский сервис
Оформление услуги Трейд-ин в программе SV,софт и по,клиентский сервис
Оформление услуги Трейд-ин в программе SV (del),софт и по,клиентский сервис
Охрана труда Блок 2,охрана труда,
Полезные возможности Microsoft Excel,софт и по,
Полезные возможности Microsoft Word,софт и по,
Принципы эффективной презентации,развитие общих и управленческих навыков,
Программа СПАСИБО от Сбербанка,акции и спецпредложения,
Продукт,продукция,
Разговорный английский_урок 2,английский,
Разговорный английский_урок 3,английский,
Разговорный английский_урок 4,английский,
Служба обслуживания сотрудников,развитие общих и управленческих навыков,
Создание красивых презентаций.,развитие общих и управленческих навыков,
Спасибо от Сбербанка,акции и спецпредложения,
Спасибо от Сбербанка_часть 3,акции и спецпредложения,
Спец проект,акции и спецпредложения,
СПЕЦИАЛЬНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ВЛАДЕЛЬЦЕВ КАРТ,акции и спецпредложения,
Технология продаж кухонной техники,технология продаж,продукция
ТРЕЙД-ИН,акции и спецпредложения,
Урок 2,английский,
Урок 3,английский,
Урок 4,английский,
Фильм Трейд - ИН,технология продаж,
Финансы для нефинансистов,"финансы, бухгалтерия, документация",
Эффективное совещание,развитие общих и управленческих навыков,
